id,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
110,洪学勤,盈动投资 • 高级投资经理,曾投资:当客，又拍云，野狗。,2014,2,2,,种子轮/天使轮、Pre-A 轮、A 轮,0W - 3000W 人民币,6 个,大数据、云服务、企业级应用/服务、O2O、SaaS,杭州
111,贾珂,创享投资 • 管理合伙人,曾投资：天上友嘉、天时通、钛核互动。关注新内容平台,2009,15,5,,种子轮/天使轮、Pre-A 轮,300W - 1000W 人民币,10 个,社区、O2O,北京、上海、广州、深圳
112,姚慧,K2VC险峰华兴 • 分析师,原百度贴吧产品经理，曾投资：Emo、可见。,2014,2,,,种子轮/天使轮、Pre-A 轮,50W - 800W 人民币,5 个,二次元、消费互联网、社区、视频、B2B,深圳
113,吴文蔚,CyberAgent创投 • 上海总经理,曾投资：TutorGroup、饭团、粉粉日记、Epicforce等。,2010,14,8,,种子轮/天使轮、A 轮,100W - 1000W 人民币,5 个,房产、O2O、文化、娱乐、社交、智能硬件、消费电子,北京、上海、深圳
114,王全,博派资本 • 投资经理,曾投资：被窝声次元,2015,1,,,种子轮/天使轮,100W - 500W 人民币,5 个,娱乐、新内容生态、二次元、手游、动漫,北京
115,王力,执一资本 • 投资经理,前百度战略分析师及产品经理，主要关注金融、房、车等产业互联网领域。,2015,,,,Pre-A 轮、A 轮,300W - 6000W 人民币,5 个,金融、地产、本地生活、汽车、分享经济,北京、上海
116,华巍,今日头条 • 投资总监,曾投资：魔图精灵等。,2015,,,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 1000W 人民币,10 个,海外市场、二次元、内容聚合、社交、娱乐、消费互联网、社区、兴趣图谱、生活方式、内容聚合、流量分发、新内容生态、女性、图片、二次元,北京
117,谢晨星,执一资本 • 投资总监,曾投资：APUS，人人车，清华学堂在线。,2013,3,2,,Pre-A 轮、A 轮、B 轮,600W - 10000W 人民币,3 个,互联网金融、教育培训、汽车、医疗健康,北京
118,高峰,华映资本 • 董事,曾投资：锦和商业、米牛网。,2011,10,10,,A 轮,1000W - 3000W 人民币,5 个,旅游、O2O,北京、上海、杭州
119,李论,熊猫资本 • 创始合伙人,曾投资：淘当铺、Airwheel、春水堂、好贷网、小马购车、友加、丽维家、小米装、钱升钱。,2013,19,13,3,种子轮/天使轮、Pre-A 轮,100W - 1500W 人民币,8 个,消费互联网、汽车、O2O,北京、上海
120,赵俊超,同渡创投 • 创始合伙人,曾投资：六间房、悠悠村、马可波罗网等.,2008,,,,Pre-A 轮、A 轮,500W - 2500W 人民币,8 个,B2B、电商平台、信息服务、SaaS、技术创新,北京、上海
121,吴海燕,华创资本 • 合伙人,曾投资：铜板街、别样红、700Bike等。,2012,6,5,2,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 10000W 人民币,6 个,母婴、儿童、女性、男性、新媒体,北京、上海、杭州
122,许高,华创资本 • 投资经理,前极梦网创始人。重点关乎互联网金融，教育和房消费。,2014,4,,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,200W - 10000W 人民币,5 个,教育培训、金融、智能家居、地产、众筹,北京、上海
123,杨溢,CA创投 • 深圳总经理,曾投资：房多多、胡莱游戏等。,2015,15,6,2,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1000W 人民币,10 个,O2O、智能硬件、房产,广州、深圳、珠海、东莞
124,易丽君,创享投资 • 合伙人,曾投资：豆腐、理大师、欢瑞世纪 、ITools、筑巢新游、钛核互动 、陌上科技等。,2011,27,10,4,种子轮/天使轮、Pre-A 轮,100W - 600W 人民币,15 个,娱乐、新内容生态、社区、社交、O2O,北京、上海、深圳、成都
125,李锦香,戈壁投资 • 资深投资总监,曾投资：夸客金融，先花花，元气弹，十方旅行，求解答。,2012,11,10,2,Pre-A 轮、A 轮,500W - 6000W 人民币,6 个,母婴、教育培训、金融、新内容生态、旅游,北京、上海
126,洪弈,新进创投 • 管理合伙人,曾投资：格奕游戏，摩奇园林，好买车，易诊。主投：移动互联网与生命科学。,2012,20,14,3,种子轮/天使轮、Pre-A 轮,50W - 800W 人民币,10 个,医疗健康,北京、上海
