phase,investor_id,brief,name,id
已上市,51,乐逗游戏iDreamSky是一家手机游戏开发商和发行商，隶属于深圳市创梦天地科技有限公司。,乐逗游戏,132
已被并购,51,广州银汉科技是一家手机游戏开发商，旗下产品有《时空猎人》、《梦回西游》、《天地剑心》等。,银汉科技,133
已完成 B 轮融资,51,好买基金网是一家第三方的基金服务、财富管理服务公司，提供基金资讯、在线交易服务，上海好买信投资管理有限公司旗下。,好买基金网,134
已完成 A 轮融资,51,每日优鲜是一家专注优质生鲜的特卖网站，平台每天都会筛选优质的生鲜商品推荐给用户购买。北京每日优鲜电子商务有限公司旗下网站。,每日优鲜,135
已完成 B 轮融资,52,美味不用等是一个基于LBS的餐厅排队解决方案APP，提供手机排队取号、查看排队实时进展、快到叫号提前提醒、手机店外点菜自助打单、手机店内点菜一键下单等服务。上海普景信息科技有限公司旗下。,美味不用等,136
已完成天使轮融资,52,闪电报销是国内第一款针对创业企业费用管理的轻量级应用解决方案，通过微信、SAAS后台以及APP轻松搞定早期企业的报销及现金流管理问题。,闪电报销,137
已完成天使轮融资,52,婚趣网是一家主打婚庆服务的O2O平台，提供摄影师、化妆师、婚纱礼服、影棚外景、精修设计和婚件制作等对接服务。北京婚趣科技有限公司旗下产品。,婚趣,138
已完成 A 轮融资,52,he L是第一款，也是唯一一款全球范围的ios拉拉交友app，由the L团队于2012年11月7日推出的一款基于地理位置的les群体专属移动社交产品，并且在全球范围内广泛推广。,theL,139
已完成 A 轮融资,52,拼豆夜宵是一家深夜美食外卖平台，配送时间为晚上9至凌晨5点。拼豆科技（北京）有限公司旗下产品。,拼豆夜宵,140
已完成 C 轮融资,53,移动互联网的最大第三方数据交易平台,Talking data,141
已完成 B 轮融资,53,移动互联网计费和支付服务商，为开发者提供交易支撑和支付解决方案,爱贝支付,142
已完成 B 轮融资,53,面向海外市场的Andriod用户系统,APUS,143
已完成天使轮融资,53,中国最大的工具软件之一，用户量突破3亿用户,墨迹天气,144
已完成 B 轮融资,54,游戏代理发行商，致力于打造优质海外智能机游戏引进平台，将国外热门游戏带给更多的中国玩家。,游道易,145
已完成 B 轮融资,54,MassiveImpact is a leader in performance mobile advertising.,Massiveimpact,146
已完成 B 轮融资,54,高清视频服务网站，主打儿童视频、纪录片等。,乐看儿童,147
已完成 D 轮以上融资,55,快的打车是一款智能手机打车应用，软件为打车乘客和出租司机量身定做，乘客可以轻松发单，随时随地打车；司机可以降低空驶率，轻松多赚钱。,快的打车,148
已完成 D 轮以上融资,55,蘑菇街是一个女性购物分享及导购社区。杭州卷瓜网络有限公司旗下网站。,蘑菇街,149
已完成 A 轮融资,56,使用TypeScript语言构建的开源免费的移动游戏引擎,白鹭引擎,150
已完成 B 轮融资,57,车轮隶属于上海易点时空网络有限公司，专注于移动互联网尤其是汽车领域的业务,车轮,151
已完成 A 轮融资,57,托福雅思一对一在线课堂，通过SKYPE语音在线授课，提供5对1跟踪托福指导服务,小站教育,152
,57,基于人工智能技术的旅游路线个性化定制服务商,妙计旅行,153
,57,移动健身,Keep,154
,57,生活方式内容发现平台,MONO,155
,57,关于各种吃喝的媒体,企鹅吃喝指南,156
已完成 C 轮融资,58,集视频，小说，壁纸和安卓手机应用游戏的安卓在线商店,豌豆荚,157
已完成 C 轮融资,58,主打真人外教一对一、平价、一节课最低15元的英语网络学校,51talk,158
已完成 D 轮融资,58,二手车拍卖在线交易平台,优信拍,159
已完成 B 轮融资,59,有赞前身是口袋通，是一个基于SAAS模式的免费社会化CRM（微店铺+微粉丝营销）平台，简单而言就是帮商家（目前是中小电商）管理他们的客户，并能通过各类营销手段，产生交易获得订单的工具平台。杭州起码科技有限公司旗下产品。,有赞,160
已完成 D 轮以上融资,59,饿了么是一个外卖订餐平台，旗下拥有订奶茶产品。隶属于上海拉扎斯信息科技有限公司。,饿了么,161
已完成 A 轮融资,59,JUJU二次元是一个专注于二次元的移动社交网络，面向宅男腐女提供资讯、社区互动等，隶属于杭州巨聚网络技术有限公司。,JUJU,162
已完成 C 轮融资,59,手机游戏视频录制和社交推广传播方案服务商，提供手游录像、分享、传播服务，隶属于广州爱拍网络科技有限公司。,爱拍,163
