investDate,participant,name,latestPhase,industry,brief,investor_id,kr_id,amount,phase,kr_group_id,amountUnit,id
1398873600000,东方弘道,闻闻窝,A,SOCIAL_NETWORK,宠物图片分享应用,686,700,500,ANGEL,11795,CNY,1156
,,天津海河普惠金融信息服务有限公司,NONE,,政府基金引导的互联网金融，服务小微企业，服务网络投资人,681,1150,,,131791,,1157
1406822400000,,天津闪联电子商务有限公司,INFORMAL,OTHER,打造国内最大的互联网航旅公司,681,1150,500,,131803,CNY,1158
,,北京淘乐思幼儿教育基金,NONE,NON_TMT,连锁幼教管理公司,681,1150,,,131805,,1159
1427817600000,歌石投资,福云明网络科技,A,INTELLIGENT_HARDWARE,运动相机开发商,680,1221,数千万,A,12183,CNY,1160
,,房管通,ANGEL,SERVICE_INDUSTRIES,酒店行业的数据搬运工,682,965,,,134045,,1161
1404144000000,,糖果云,NONE,INTELLIGENT_HARDWARE,重度垂直的糖尿病O2O医疗服务平台,682,965,,PRE_A,143803,CNY,1162
1412092800000,,宜花,NONE,,鲜花供应链,682,965,,ANGEL,152164,CNY,1163
,,信通袋,ANGEL,FINANCE,专注于为大学生提供分期服务的互联网金融平台,682,965,,,141981,,1164
,,艾斯米尔,A,,鲜花服务专家，直接连接鲜花产地与鲜花店及消费者,682,965,,,135788,,1165
,,时间拍卖,ANGEL,SOCIAL_NETWORK,以拍卖个人时间的方式促进大家线下社交的议价付费社交网站,682,965,,,8145,,1166
1425139200000,,包菜网,ANGEL,CONSUMER_LIFESTYLE,咖啡外卖平台，提供咖啡、奶茶和工作简餐的外送服务,678,1656,200,ANGEL,34166,CNY,1167
1396281600000,,港股那些事,INFORMAL,OTHER,寻求有价值的趋势,678,1656,50,,134643,CNY,1168
1251734400000,,烟台蒙连科技有限公司,ANGEL,OTHER,零售连锁,676,2296,50,ANGEL,131983,CNY,1169
1385827200000,,古味多餐饮连锁机构,ANGEL,OTHER,特色餐饮连锁,676,2296,60,ANGEL,131984,CNY,1170
1351699200000,,烟台倍爱商贸有限公司,ANGEL,OTHER,母婴连锁,676,2296,30,ANGEL,131986,CNY,1171
1404144000000,,烟台谷芝润电子商务有限公司,ANGEL,E_COMMERCE,社区宅配O2O,676,2296,100,ANGEL,131988,CNY,1172
1427817600000,盛大资本,悠米钱包,ANGEL,OTHER,白领工资管家,674,2829,,ANGEL,148838,CNY,1173
1422720000000,,甜心摇滚沙拉,A,CULTURE_SPORTS_ART,中国主食沙拉Ｏ2O第一品牌，中国人的健康生活方式平台。,1130,32944,2000,PRE_A,135639,CNY,1174
1435680000000,,驾遇,ANGEL,AUTO,你只管开车，我负责养车，驾遇，车主必备神器,1129,33327,,ANGEL,131759,USD,1175
,,良衣汇,ANGEL,E_COMMERCE,最专业的闲置品牌衣物买卖平台,1154,37949,,,155992,,1176
1304179200000,九合创投,36氪,B,MEDIA,互联网创业平台,1154,37949,,ANGEL,1515,USD,1177
1322668800000,,堆糖,B,E_COMMERCE,一个为用户收集发现喜爱的事物，以图片的方式来展示和浏览。,1154,37949,,ANGEL,4560,CNY,1178
1338480000000,"天使湾创投,九合创投",下厨房,B,CONSUMER_LIFESTYLE,家庭美食记录、分享与交流平台,1154,37949,数百万,ANGEL,1973,CNY,1179
1314806400000,九合创投,Zepp,C,INTELLIGENT_HARDWARE,专注于海外运动市场的可穿戴设备研发商,1154,37949,255,ANGEL,26838,CNY,1180
1343750400000,九合创投,V电影,B,CULTURE_SPORTS_ART,微电影分享交流平台,1154,37949,120,ANGEL,2931,CNY,1181
1335801600000,"真格基金,荷多投资,九合创投",节操精选,B,CULTURE_SPORTS_ART,主打奇葩搞笑段子的手机娱乐应用,1154,37949,数百万,ANGEL,26450,CNY,1182
1388505600000,九合创投,红点直播,A,SOFTWARE,手机上的语音直播工具,1154,37949,120,ANGEL,26921,CNY,1183
1417363200000,"IVP,九合创投",黄油相机,ANGEL,SOCIAL_NETWORK,骨骼清奇接地气的中文拍照加字应用,1154,37949,数百万,ANGEL,131608,CNY,1184
,,HiHey,A,E_COMMERCE,全球领先的艺术品电商,1151,38273,,,2203,,1185
,,猫酷商场,A,SERVICE_INDUSTRIES,智慧商场系统解决方案提供商,1151,38273,,,26959,,1186
1412092800000,创新谷,说唱家,ANGEL,OTHER,录制、发现、分享你的说唱音乐,1152,38077,数百,ANGEL,140331,CNY,1187
1412092800000,创新谷,购快,ANGEL,OTHER,开在手机上的7-11便利店，30分钟送货上门,1152,38077,数百,ANGEL,140332,CNY,1188
1412092800000,创新谷,友推互动,ANGEL,ADVERTISING_MARKETING,活动易，三分钟创建你的移动营销活动，程序化互动营销广告平台,1152,38077,100,ANGEL,132486,CNY,1189
1214841600000,,喜临门,IPO,,国内主板已上市,1150,38665,,,137661,USD,1190
1201795200000,浙商创投,华数传媒网络有限公司,C,NON_TMT,跨地域经营的有线网络运营商,1150,38665,,C,130786,USD,1191
1235836800000,浙商创投,博曼迪,ANGEL,OTHER,汽车EMS，已完成C轮,1150,38665,,ANGEL,137662,USD,1192
1420041600000,浙商创投,深证时讯互联ATET,A,GAME_ANIMATION,电视游戏运营,1150,38665,,A,137692,USD,1193
